block,neuron_idx,rank,score,abs_score
0,40,0,-0.47615358233451843,0.47615358233451843
0,1445,1,0.46542221307754517,0.46542221307754517
0,334,2,0.44264066219329834,0.44264066219329834
0,708,3,-0.4408174157142639,0.4408174157142639
0,1426,4,0.4380202889442444,0.4380202889442444
0,244,5,-0.4350871741771698,0.4350871741771698
0,137,6,-0.4206000566482544,0.4206000566482544
0,549,7,0.411721795797348,0.411721795797348
0,1337,8,-0.38024240732192993,0.38024240732192993
0,74,9,-0.3611242175102234,0.3611242175102234
0,720,10,-0.36091136932373047,0.36091136932373047
0,1023,11,-0.35996222496032715,0.35996222496032715
0,1811,12,0.3561350703239441,0.3561350703239441
0,493,13,0.35494157671928406,0.35494157671928406
0,162,14,-0.34835413098335266,0.34835413098335266
0,79,15,-0.3454362750053406,0.3454362750053406
0,961,16,-0.3436821699142456,0.3436821699142456
0,1523,17,0.3434746563434601,0.3434746563434601
0,805,18,0.3373616337776184,0.3373616337776184
0,535,19,-0.33240383863449097,0.33240383863449097
1,307,0,0.4114341735839844,0.4114341735839844
1,1183,1,-0.3601742684841156,0.3601742684841156
1,1434,2,0.3593579828739166,0.3593579828739166
1,466,3,-0.3393169045448303,0.3393169045448303
1,1228,4,0.3268391788005829,0.3268391788005829
1,1662,5,0.30829212069511414,0.30829212069511414
1,895,6,0.3047473132610321,0.3047473132610321
1,904,7,0.29789602756500244,0.29789602756500244
1,1595,8,0.29698169231414795,0.29698169231414795
1,1350,9,0.29618507623672485,0.29618507623672485
1,754,10,-0.2843559682369232,0.2843559682369232
1,1163,11,0.2706449627876282,0.2706449627876282
1,1965,12,0.26854315400123596,0.26854315400123596
1,1681,13,-0.26536157727241516,0.26536157727241516
1,483,14,0.265095978975296,0.265095978975296
1,620,15,0.2501051723957062,0.2501051723957062
1,1829,16,0.2442227602005005,0.2442227602005005
1,989,17,0.24300460517406464,0.24300460517406464
1,510,18,0.2340102642774582,0.2340102642774582
1,1706,19,0.23371616005897522,0.23371616005897522
2,1075,0,-0.46321621537208557,0.46321621537208557
2,1266,1,0.43242785334587097,0.43242785334587097
2,961,2,0.3776130676269531,0.3776130676269531
2,1473,3,-0.3707498013973236,0.3707498013973236
2,698,4,0.3691179156303406,0.3691179156303406
2,77,5,-0.3640546202659607,0.3640546202659607
2,874,6,0.3631276488304138,0.3631276488304138
2,804,7,-0.3582201898097992,0.3582201898097992
2,975,8,0.349063515663147,0.349063515663147
2,408,9,-0.3292408883571625,0.3292408883571625
2,1523,10,0.3285570442676544,0.3285570442676544
2,780,11,0.327315092086792,0.327315092086792
2,1011,12,-0.32166439294815063,0.32166439294815063
2,878,13,-0.3195411264896393,0.3195411264896393
2,1682,14,0.3190927505493164,0.3190927505493164
2,1902,15,0.31790661811828613,0.31790661811828613
2,507,16,0.3163532316684723,0.3163532316684723
2,1240,17,-0.31563156843185425,0.31563156843185425
2,1111,18,-0.31494081020355225,0.31494081020355225
2,56,19,-0.3091880679130554,0.3091880679130554
3,1932,0,-0.5806134939193726,0.5806134939193726
3,627,1,-0.4619932472705841,0.4619932472705841
3,753,2,-0.42809879779815674,0.42809879779815674
3,129,3,-0.42126795649528503,0.42126795649528503
3,972,4,-0.3958449363708496,0.3958449363708496
3,1033,5,-0.39337825775146484,0.39337825775146484
3,1994,6,-0.3912755846977234,0.3912755846977234
3,741,7,-0.388063907623291,0.388063907623291
3,945,8,-0.38405340909957886,0.38405340909957886
3,1133,9,-0.380749374628067,0.380749374628067
3,293,10,-0.36012008786201477,0.36012008786201477
3,1825,11,-0.35768210887908936,0.35768210887908936
3,1392,12,0.35358771681785583,0.35358771681785583
3,703,13,-0.3395448327064514,0.3395448327064514
3,725,14,-0.33847635984420776,0.33847635984420776
3,485,15,-0.33697062730789185,0.33697062730789185
3,470,16,-0.33238857984542847,0.33238857984542847
3,1488,17,-0.3309694528579712,0.3309694528579712
3,1128,18,-0.3222846984863281,0.3222846984863281
3,1809,19,-0.32053127884864807,0.32053127884864807
4,1303,0,0.5792149305343628,0.5792149305343628
4,1850,1,-0.56488436460495,0.56488436460495
4,850,2,-0.54600590467453,0.54600590467453
4,1827,3,0.5431000590324402,0.5431000590324402
4,1950,4,0.5344393849372864,0.5344393849372864
4,869,5,-0.5170120596885681,0.5170120596885681
4,497,6,0.5027461051940918,0.5027461051940918
4,1059,7,-0.4830344319343567,0.4830344319343567
4,1863,8,-0.47422856092453003,0.47422856092453003
4,464,9,-0.45675715804100037,0.45675715804100037
4,203,10,-0.45357370376586914,0.45357370376586914
4,624,11,0.4533643126487732,0.4533643126487732
4,481,12,-0.4498941898345947,0.4498941898345947
4,1499,13,0.443527489900589,0.443527489900589
4,1313,14,0.43641844391822815,0.43641844391822815
4,605,15,-0.4351186156272888,0.4351186156272888
4,129,16,-0.42536938190460205,0.42536938190460205
4,979,17,0.42436981201171875,0.42436981201171875
4,1975,18,-0.42114272713661194,0.42114272713661194
4,334,19,0.4206255078315735,0.4206255078315735
5,581,0,0.5870955586433411,0.5870955586433411
5,75,1,-0.5625374913215637,0.5625374913215637
5,991,2,-0.552595317363739,0.552595317363739
5,930,3,-0.5416173934936523,0.5416173934936523
5,693,4,-0.5094587206840515,0.5094587206840515
5,1074,5,-0.5089285969734192,0.5089285969734192
5,1047,6,-0.5016947984695435,0.5016947984695435
5,1042,7,0.5008357167243958,0.5008357167243958
5,872,8,-0.48428162932395935,0.48428162932395935
5,1106,9,-0.4721248745918274,0.4721248745918274
5,1114,10,0.467517614364624,0.467517614364624
5,582,11,-0.46467772126197815,0.46467772126197815
5,1480,12,0.4636920690536499,0.4636920690536499
5,188,13,-0.4586855471134186,0.4586855471134186
5,1968,14,0.4575614929199219,0.4575614929199219
5,1948,15,0.44860363006591797,0.44860363006591797
5,361,16,0.44816723465919495,0.44816723465919495
5,132,17,0.44609665870666504,0.44609665870666504
5,944,18,0.44202306866645813,0.44202306866645813
5,2028,19,0.4368249475955963,0.4368249475955963
6,1339,0,-0.6695703268051147,0.6695703268051147
6,701,1,0.5903881788253784,0.5903881788253784
6,1716,2,-0.5832931399345398,0.5832931399345398
6,690,3,0.5776549577713013,0.5776549577713013
6,534,4,0.5749847888946533,0.5749847888946533
6,251,5,-0.5340037941932678,0.5340037941932678
6,1248,6,0.5261073112487793,0.5261073112487793
6,900,7,-0.5183533430099487,0.5183533430099487
6,1328,8,-0.5129972100257874,0.5129972100257874
6,1825,9,0.5085757374763489,0.5085757374763489
6,1719,10,-0.5044965147972107,0.5044965147972107
6,1874,11,-0.4868590831756592,0.4868590831756592
6,1265,12,-0.48416996002197266,0.48416996002197266
6,1429,13,0.4830855429172516,0.4830855429172516
6,1580,14,-0.4732845723628998,0.4732845723628998
6,1914,15,-0.47132644057273865,0.47132644057273865
6,1658,16,0.4619021415710449,0.4619021415710449
6,740,17,-0.45357656478881836,0.45357656478881836
6,1680,18,0.4529470205307007,0.4529470205307007
6,1773,19,-0.45254606008529663,0.45254606008529663
7,1411,0,0.7548619508743286,0.7548619508743286
7,1991,1,0.6541949510574341,0.6541949510574341
7,1906,2,-0.6459755897521973,0.6459755897521973
7,842,3,0.6284754276275635,0.6284754276275635
7,1751,4,0.6261939406394958,0.6261939406394958
7,1016,5,0.6095874905586243,0.6095874905586243
7,1639,6,-0.608631432056427,0.608631432056427
7,1443,7,0.5857509970664978,0.5857509970664978
7,1558,8,0.5838267207145691,0.5838267207145691
7,1164,9,0.5775311589241028,0.5775311589241028
7,680,10,0.5769151449203491,0.5769151449203491
7,1538,11,0.5761420130729675,0.5761420130729675
7,117,12,0.5750527381896973,0.5750527381896973
7,599,13,0.5710080862045288,0.5710080862045288
7,1550,14,0.5693854093551636,0.5693854093551636
7,438,15,-0.548274040222168,0.548274040222168
7,1875,16,-0.5410557985305786,0.5410557985305786
7,1829,17,0.5369129776954651,0.5369129776954651
7,1130,18,0.5363137125968933,0.5363137125968933
7,421,19,-0.535753607749939,0.535753607749939
8,2041,0,-0.7470365166664124,0.7470365166664124
8,1032,1,-0.6733078956604004,0.6733078956604004
8,1556,2,0.6702826619148254,0.6702826619148254
8,565,3,0.6412757039070129,0.6412757039070129
8,1947,4,-0.6162269711494446,0.6162269711494446
8,328,5,0.5919800400733948,0.5919800400733948
8,777,6,0.5858225226402283,0.5858225226402283
8,994,7,0.5690998435020447,0.5690998435020447
8,1317,8,-0.557142972946167,0.557142972946167
8,1971,9,-0.5533292889595032,0.5533292889595032
8,542,10,0.5412082076072693,0.5412082076072693
8,749,11,0.5319022536277771,0.5319022536277771
8,214,12,-0.5253265500068665,0.5253265500068665
8,253,13,-0.5246580243110657,0.5246580243110657
8,1116,14,0.5165137052536011,0.5165137052536011
8,1132,15,0.5161731839179993,0.5161731839179993
8,791,16,-0.510361909866333,0.510361909866333
8,763,17,0.49664902687072754,0.49664902687072754
8,1549,18,0.49611490964889526,0.49611490964889526
8,228,19,-0.4933511018753052,0.4933511018753052
9,1312,0,0.6890128254890442,0.6890128254890442
9,1320,1,0.6487569808959961,0.6487569808959961
9,444,2,0.5937363505363464,0.5937363505363464
9,589,3,0.5729962587356567,0.5729962587356567
9,1615,4,-0.5569758415222168,0.5569758415222168
9,270,5,-0.5382266044616699,0.5382266044616699
9,1968,6,-0.5340628623962402,0.5340628623962402
9,1791,7,-0.514311671257019,0.514311671257019
9,1859,8,0.5096141695976257,0.5096141695976257
9,1525,9,-0.5088203549385071,0.5088203549385071
9,591,10,-0.4824194312095642,0.4824194312095642
9,1389,11,0.48102959990501404,0.48102959990501404
9,286,12,-0.4771239459514618,0.4771239459514618
9,325,13,-0.4764881134033203,0.4764881134033203
9,13,14,-0.4737044870853424,0.4737044870853424
9,1066,15,-0.4733006954193115,0.4733006954193115
9,255,16,0.46909430623054504,0.46909430623054504
9,1075,17,-0.46154823899269104,0.46154823899269104
9,1129,18,-0.4558693468570709,0.4558693468570709
9,1576,19,0.4539022445678711,0.4539022445678711
10,1811,0,-0.7913947105407715,0.7913947105407715
10,885,1,-0.7402099370956421,0.7402099370956421
10,1259,2,-0.6656770706176758,0.6656770706176758
10,113,3,0.6328883171081543,0.6328883171081543
10,909,4,-0.6310484409332275,0.6310484409332275
10,1782,5,0.6306318044662476,0.6306318044662476
10,92,6,0.6144089102745056,0.6144089102745056
10,220,7,0.6082702279090881,0.6082702279090881
10,1111,8,-0.57761549949646,0.57761549949646
10,688,9,0.5770158171653748,0.5770158171653748
10,972,10,0.5611711144447327,0.5611711144447327
10,960,11,0.5395799875259399,0.5395799875259399
10,417,12,0.5362775325775146,0.5362775325775146
10,240,13,-0.5343473553657532,0.5343473553657532
10,1622,14,0.5301830768585205,0.5301830768585205
10,1634,15,0.5290806889533997,0.5290806889533997
10,1861,16,0.5286603569984436,0.5286603569984436
10,116,17,-0.507758617401123,0.507758617401123
10,293,18,-0.5074431896209717,0.5074431896209717
10,950,19,0.506641685962677,0.506641685962677
11,1889,0,0.7792738676071167,0.7792738676071167
11,113,1,0.7182523608207703,0.7182523608207703
11,319,2,-0.7140963673591614,0.7140963673591614
11,1048,3,0.6880623698234558,0.6880623698234558
11,320,4,-0.6518852710723877,0.6518852710723877
11,1838,5,0.6448743343353271,0.6448743343353271
11,1207,6,0.6344470381736755,0.6344470381736755
11,80,7,-0.6289851665496826,0.6289851665496826
11,1636,8,0.6052398681640625,0.6052398681640625
11,1050,9,0.5971972942352295,0.5971972942352295
11,1764,10,0.5935314297676086,0.5935314297676086
11,1700,11,0.5902087688446045,0.5902087688446045
11,948,12,-0.5895677804946899,0.5895677804946899
11,93,13,0.5870400667190552,0.5870400667190552
11,478,14,0.5761706233024597,0.5761706233024597
11,659,15,-0.5744382739067078,0.5744382739067078
11,1293,16,-0.5701597929000854,0.5701597929000854
11,1465,17,-0.5655636787414551,0.5655636787414551
11,156,18,0.5517245531082153,0.5517245531082153
11,111,19,-0.5493702292442322,0.5493702292442322
